,Dataset,Region,Predicted vs. Observed RDM
165,N&N,7Networks_RH_Cont_pCun_1,0.17988674709846772
166,N&N,7Networks_RH_Default_PFCdPFCm_1,0.11652709531375753
167,N&N,7Networks_RH_Default_PFCdPFCm_2,0.1053058475464908
168,N&N,7Networks_RH_Default_PFCdPFCm_3,0.13685386128561458
169,N&N,7Networks_RH_Default_PFCv_1,0.1535923209682476
170,N&N,7Networks_RH_Default_PFCv_2,0.18397531129469313
171,N&N,7Networks_RH_Default_Par_1,0.1344708634198657
172,N&N,7Networks_RH_Default_Temp_1,0.16194619576178063
173,N&N,7Networks_RH_Default_Temp_2,0.1655889609520632
174,N&N,7Networks_RH_Default_Temp_3,0.16962007565690893
175,N&N,7Networks_RH_Default_pCunPCC_1,0.12335313028732914
176,N&N,7Networks_RH_Default_pCunPCC_2,0.11602161015644681
177,N&N,7Networks_RH_DorsAttn_FEF_1,0.1618266475419672
178,N&N,7Networks_RH_DorsAttn_Post_1,0.2474718768278884
179,N&N,7Networks_RH_DorsAttn_Post_2,0.08804013925093251
180,N&N,7Networks_RH_DorsAttn_Post_3,0.18103945631570584
181,N&N,7Networks_RH_DorsAttn_Post_4,0.23077322466684133
182,N&N,7Networks_RH_DorsAttn_Post_5,0.15735855481607555
183,N&N,7Networks_RH_DorsAttn_PrCv_1,0.20901346331092277
184,N&N,7Networks_RH_Limbic_OFC_1,0.11025024832580345
185,N&N,7Networks_RH_Limbic_TempPole_1,0.13786370070473639
186,N&N,7Networks_RH_SalVentAttn_FrOperIns_1,0.19579749179943695
187,N&N,7Networks_RH_SalVentAttn_Med_1,0.11152087224713332
188,N&N,7Networks_RH_SalVentAttn_Med_2,0.14038537148974747
189,N&N,7Networks_RH_SalVentAttn_TempOccPar_1,0.18287082848776026
190,N&N,7Networks_RH_SalVentAttn_TempOccPar_2,0.13573573233965316
191,N&N,7Networks_RH_SomMot_1,0.17788586625652858
192,N&N,7Networks_RH_SomMot_2,0.1505731315564452
193,N&N,7Networks_RH_SomMot_3,0.160792129469943
194,N&N,7Networks_RH_SomMot_4,0.09567071841393164
195,N&N,7Networks_RH_SomMot_5,0.07868205438476457
196,N&N,7Networks_RH_SomMot_6,0.08446067907761651
197,N&N,7Networks_RH_SomMot_7,0.091297746565062
198,N&N,7Networks_RH_SomMot_8,0.11187841114208508
199,N&N,7Networks_RH_Vis_1,0.28452453697682734
200,N&N,7Networks_RH_Vis_2,0.3276986590720751
201,N&N,7Networks_RH_Vis_3,0.30559211489395655
202,N&N,7Networks_RH_Vis_4,0.3060499767852285
203,N&N,7Networks_RH_Vis_5,0.2024556516188455
204,N&N,7Networks_RH_Vis_6,0.117543242616666
205,N&N,7Networks_RH_Vis_7,0.3029610990796396
206,N&N,7Networks_RH_Vis_8,0.23670127835170726
207,N&N,Caudate,0.0974599458803676
208,N&N,Hippocampus,0.0928990042144303
209,N&N,Null Model,0.12409225659516256
210,N&N,Pallidus,0.1421650994339868
211,N&N,Putamen,0.07499176645248762
212,N&N,Thalamus,0.22655022840947714
213,N&N,Uniformed Evoked Model,-0.004714919238459542
