,Dataset,Task,Region,Predicted vs. Observed Evoked Responses
178,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_Post_1,0.08397936871048801
179,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_Post_2,0.146339567050777
180,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_Post_3,0.23104196501445523
181,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_Post_4,0.2015809649943958
182,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_Post_5,0.17760829324496946
183,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_PrCv_1,0.0951153264389322
184,MDTB,AnimatedMovie,7Networks_RH_Limbic_OFC_1,0.14351158145910242
185,MDTB,AnimatedMovie,7Networks_RH_Limbic_TempPole_1,0.08675841513057686
186,MDTB,AnimatedMovie,7Networks_RH_SalVentAttn_FrOperIns_1,0.15339952767640672
187,MDTB,AnimatedMovie,7Networks_RH_SalVentAttn_Med_1,0.17188298667505336
188,MDTB,AnimatedMovie,7Networks_RH_SalVentAttn_Med_2,0.12566530410148666
189,MDTB,AnimatedMovie,7Networks_RH_SalVentAttn_TempOccPar_1,0.13384787716310304
190,MDTB,AnimatedMovie,7Networks_RH_SalVentAttn_TempOccPar_2,0.16206502409232607
191,MDTB,AnimatedMovie,7Networks_RH_SomMot_1,0.10035744859280472
192,MDTB,AnimatedMovie,7Networks_RH_SomMot_2,0.05522459602522493
193,MDTB,AnimatedMovie,7Networks_RH_SomMot_3,0.15974230947419935
194,MDTB,AnimatedMovie,7Networks_RH_SomMot_4,0.08793226867203838
195,MDTB,AnimatedMovie,7Networks_RH_SomMot_5,0.20165048604163438
196,MDTB,AnimatedMovie,7Networks_RH_SomMot_6,0.06712843235842766
197,MDTB,AnimatedMovie,7Networks_RH_SomMot_7,0.09482259669342172
198,MDTB,AnimatedMovie,7Networks_RH_SomMot_8,0.11318919055503693
199,MDTB,AnimatedMovie,7Networks_RH_Vis_1,0.16629522808016803
200,MDTB,AnimatedMovie,7Networks_RH_Vis_2,0.2646980257485799
201,MDTB,AnimatedMovie,7Networks_RH_Vis_3,-0.0055668918272498745
202,MDTB,AnimatedMovie,7Networks_RH_Vis_4,0.28409806609795957
203,MDTB,AnimatedMovie,7Networks_RH_Vis_5,0.2685575876334248
204,MDTB,AnimatedMovie,7Networks_RH_Vis_6,0.4071563559726575
205,MDTB,AnimatedMovie,7Networks_RH_Vis_7,0.17832320910269384
206,MDTB,AnimatedMovie,7Networks_RH_Vis_8,0.33109956098362914
207,MDTB,AnimatedMovie,Caudate,0.07768504843389351
208,MDTB,AnimatedMovie,Hippocampus,0.07827731081895459
209,MDTB,AnimatedMovie,Null Model,0.061782570827771735
210,MDTB,AnimatedMovie,Pallidus,-0.0054134204166110915
211,MDTB,AnimatedMovie,Putamen,0.05169472124383343
212,MDTB,AnimatedMovie,Thalamus,0.24847499266384224
213,MDTB,AnimatedMovie,Uniformed Evoked Model,0.004534773281758323
214,MDTB,BiologicalMotion,7Networks_LH_Cont_Cing_1,0.29237361303751125
215,MDTB,BiologicalMotion,7Networks_LH_Cont_PFCl_1,0.5039963547677793
216,MDTB,BiologicalMotion,7Networks_LH_Cont_Par_1,0.5506591644207726
217,MDTB,BiologicalMotion,7Networks_LH_Cont_pCun_1,0.36171915722606424
218,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_1,0.38308244173804545
219,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_2,0.372610989705153
220,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_3,0.44239121235543155
221,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_4,0.4262975570441241
222,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_5,0.30096863001319996
223,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_6,0.3929226621275253
224,MDTB,BiologicalMotion,7Networks_LH_Default_PFC_7,0.3781596711734277
225,MDTB,BiologicalMotion,7Networks_LH_Default_Par_1,0.18658710353159716
226,MDTB,BiologicalMotion,7Networks_LH_Default_Par_2,0.44170383986901823
227,MDTB,BiologicalMotion,7Networks_LH_Default_Temp_1,0.3562948053394089
228,MDTB,BiologicalMotion,7Networks_LH_Default_Temp_2,0.22583754261811703
229,MDTB,BiologicalMotion,7Networks_LH_Default_pCunPCC_1,0.41785385063217023
230,MDTB,BiologicalMotion,7Networks_LH_Default_pCunPCC_2,0.3732199815007315
231,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_FEF_1,0.47092973214933587
232,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_1,0.2857742119479356
233,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_2,0.26070725896407043
234,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_3,0.5289745161285038
235,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_4,0.22977403500941693
236,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_5,0.3550030938239721
237,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_Post_6,0.289178641864121
238,MDTB,BiologicalMotion,7Networks_LH_DorsAttn_PrCv_1,0.49547843033675887
239,MDTB,BiologicalMotion,7Networks_LH_Limbic_OFC_1,0.42931263821090837
240,MDTB,BiologicalMotion,7Networks_LH_Limbic_TempPole_1,0.31759483151132645
241,MDTB,BiologicalMotion,7Networks_LH_Limbic_TempPole_2,0.22357837420521234
242,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_FrOperIns_1,0.3647145788987335
243,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_FrOperIns_2,0.3918060359074785
244,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_Med_1,0.4341145897102848
245,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_Med_2,0.4414335456002777
246,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_Med_3,0.3398853721353906
247,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_PFCl_1,0.43801486525857264
248,MDTB,BiologicalMotion,7Networks_LH_SalVentAttn_ParOper_1,0.3708872185585986
249,MDTB,BiologicalMotion,7Networks_LH_SomMot_1,0.343772841372158
250,MDTB,BiologicalMotion,7Networks_LH_SomMot_2,0.32578266923134885
251,MDTB,BiologicalMotion,7Networks_LH_SomMot_3,0.3407827021122604
252,MDTB,BiologicalMotion,7Networks_LH_SomMot_4,0.32080953470186013
253,MDTB,BiologicalMotion,7Networks_LH_SomMot_5,0.3288366161786498
254,MDTB,BiologicalMotion,7Networks_LH_SomMot_6,0.38584337189929824
255,MDTB,BiologicalMotion,7Networks_LH_Vis_1,0.3473990740067074
256,MDTB,BiologicalMotion,7Networks_LH_Vis_2,0.3737381134245484
257,MDTB,BiologicalMotion,7Networks_LH_Vis_3,0.3671562532904725
258,MDTB,BiologicalMotion,7Networks_LH_Vis_4,0.1870983334277511
259,MDTB,BiologicalMotion,7Networks_LH_Vis_5,0.29517664716177444
260,MDTB,BiologicalMotion,7Networks_LH_Vis_6,0.2979736281255495
261,MDTB,BiologicalMotion,7Networks_LH_Vis_7,0.3217094447424107
262,MDTB,BiologicalMotion,7Networks_LH_Vis_8,0.3760581670411357
263,MDTB,BiologicalMotion,7Networks_LH_Vis_9,0.3620827967986869
264,MDTB,BiologicalMotion,7Networks_RH_Cont_Cing_1,0.3352863301867878
265,MDTB,BiologicalMotion,7Networks_RH_Cont_PFCl_1,0.3575117550128557
266,MDTB,BiologicalMotion,7Networks_RH_Cont_PFCl_2,0.49442959511156737
267,MDTB,BiologicalMotion,7Networks_RH_Cont_PFCl_3,0.37381499442529365
268,MDTB,BiologicalMotion,7Networks_RH_Cont_PFCl_4,0.43823524841605277
269,MDTB,BiologicalMotion,7Networks_RH_Cont_PFCmp_1,0.4043775843593193
270,MDTB,BiologicalMotion,7Networks_RH_Cont_Par_1,0.4195206369350921
271,MDTB,BiologicalMotion,7Networks_RH_Cont_Par_2,0.4863716726525665
272,MDTB,BiologicalMotion,7Networks_RH_Cont_pCun_1,0.4015201010509354
273,MDTB,BiologicalMotion,7Networks_RH_Default_PFCdPFCm_1,0.4364237368117436
274,MDTB,BiologicalMotion,7Networks_RH_Default_PFCdPFCm_2,0.31057930911959286
275,MDTB,BiologicalMotion,7Networks_RH_Default_PFCdPFCm_3,0.32668999144679833
276,MDTB,BiologicalMotion,7Networks_RH_Default_PFCv_1,0.35099984411769497
277,MDTB,BiologicalMotion,7Networks_RH_Default_PFCv_2,0.3705571788472689
278,MDTB,BiologicalMotion,7Networks_RH_Default_Par_1,0.3361939640843265
279,MDTB,BiologicalMotion,7Networks_RH_Default_Temp_1,0.39997267372739775
280,MDTB,BiologicalMotion,7Networks_RH_Default_Temp_2,0.40123012701364774
281,MDTB,BiologicalMotion,7Networks_RH_Default_Temp_3,0.2735237441233212
282,MDTB,BiologicalMotion,7Networks_RH_Default_pCunPCC_1,0.34401639299894277
283,MDTB,BiologicalMotion,7Networks_RH_Default_pCunPCC_2,0.33521864789534694
284,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_FEF_1,0.46360064971368575
285,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_Post_1,0.33926747101554133
286,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_Post_2,0.2806742924012377
287,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_Post_3,0.5153626404569801
